Section,Period,Time,Monday,Tuesday,Wednesday,Thursday,Friday
"A, B, C",1ST,0720-0835,PSY232,PHY232,PSY232,PHY232,PSY232
"A, B, C",2ND,0845-1000,,,,,
"A, B, C",3RD,1010-1125,RM232,ML222,RM232,ML222,RM232
"A, B, C",4TH,1250-1405,,SD222,,SD222,
"A, B, C",5TH,1415-1530,IT232,,IT232,,IT232
"D, E, F",1ST,0720-0835,,,,,
"D, E, F",2ND,0845-1000,RM232,ML222,RM232,ML222,RM232
"D, E, F",3RD,1010-1125,,SD222,,SD222,
"D, E, F",4TH,1250-1405,IT232,,IT232,,IT232
"D, E, F",5TH,1415-1530,PSY232,PHY232,PSY232,PHY232,PSY232
"G, H, I",1ST,0720-0835,RM232,ML222,RM232,ML222,RM232
"G, H, I",2ND,0845-1000,,SD222,,SD222,
"G, H, I",3RD,1010-1125,IT232,,IT232,,IT232
"G, H, I",4TH,1250-1405,PSY232,PHY232,PSY232,PHY232,PSY232
"G, H, I",5TH,1415-1530,,,,,
"J, K, L",1ST,0720-0835,,SD222,,SD222,
"J, K, L",2ND,0845-1000,IT232,,IT232,,IT232
"J, K, L",3RD,1010-1125,PSY232,PHY232,PSY232,PHY232,PSY232
"J, K, L",4TH,1250-1405,MAT232(L),,MAT232(L),,MAT232(L)
"J, K, L",5TH,1415-1530,RM232,ML222,RM232,ML222,RM232
"M, N, O",1ST,0720-0835,IT232,,IT232,,IT232
"M, N, O",2ND,0845-1000,PSY232,PHY232,PSY232,PHY232,PSY232
"M, N, O",3RD,1010-1125,MAT232(O),,MAT232(O),,MAT232(O)
"M, N, O",4TH,1250-1405,RM232,ML222,RM232,ML222,RM232
"M, N, O",5TH,1415-1530,,SD222,,SD222,
